City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,geraldton,-28.7667,114.6,68.41,68,0,18.41,AU,1728599440
170,bayganin,48.6947,55.8742,46.11,65,75,9.82,KZ,1728599441
171,avarua,-21.2078,-159.775,78.85,65,40,18.41,CK,1728599442
172,kismayo,-0.3582,42.5454,76.91,87,50,16.37,SO,1728599443
173,nguigmi,14.2495,13.1092,86.52,37,5,2.28,NE,1728599444
174,athens,37.9795,23.7162,76.17,77,96,5.01,GR,1728599445
175,igarka,67.4667,86.5833,18.75,92,99,15.97,RU,1728599447
176,malango,-2.9627,119.9001,69.96,95,94,1.03,ID,1728599448
177,shalqar,47.8333,59.6,53.94,60,84,17.67,KZ,1728599449
178,ilulissat,69.2167,-51.1,30.22,40,64,13.8,GL,1728599450
179,fortuna,40.5982,-124.1573,67.93,69,0,12.66,US,1728599451
180,haiku-pauwela,20.9219,-156.3051,83.21,77,86,30.0,US,1728599452
181,nadym,65.5333,72.5167,26.58,86,78,11.59,RU,1728599454
182,ust'-ilimsk,58.0006,102.6619,25.43,93,100,7.94,RU,1728599455
183,hsinchu,24.8036,120.9686,71.89,74,2,4.0,TW,1728599283
184,karaton,-6.3424,106.1045,73.87,94,43,0.67,ID,1728599457
185,mersing,2.4312,103.8405,75.11,94,20,6.91,MY,1728599458
186,veraval,20.9,70.3667,74.03,85,100,15.86,IN,1728599459
187,gobabis,-22.45,18.9667,70.79,19,0,13.89,NA,1728599461
188,sinop,41.7711,34.8709,59.85,74,34,7.67,TR,1728599462
189,novodvinsk,64.4165,40.8122,33.55,89,100,14.76,RU,1728599463
190,yokadouma,3.5167,15.05,67.37,96,20,1.66,CM,1728599464
191,valdivia,-39.8142,-73.2459,53.69,99,100,2.37,CL,1728599245
192,betio village,1.358,172.9211,84.24,72,84,10.45,KI,1728599466
193,mount isa,-20.7333,139.5,82.17,12,0,13.8,AU,1728599468
194,okha,53.5739,142.9478,45.99,74,100,17.76,RU,1728599469
195,tindouf,27.6711,-8.1474,77.45,50,2,16.11,DZ,1728599470
196,hithadhoo,-0.6,73.0833,82.22,74,100,14.34,MV,1728599471
197,invercargill,-46.4,168.35,47.97,92,63,8.46,NZ,1728599472
198,nabire,-3.3667,135.4833,77.92,90,100,3.56,ID,1728599473
199,uturoa,-16.7333,-151.4333,75.18,85,100,20.87,PF,1728599474
200,kampong cham,11.9934,105.4635,73.56,91,16,5.35,KH,1728599476
201,homer,59.6425,-151.5483,45.77,67,20,4.61,US,1728598791
202,st ives,50.2086,-5.4875,50.0,70,74,11.03,GB,1728599478
203,bryne,58.7354,5.6477,46.06,83,75,20.71,NO,1728599479
204,estella-lizarra,42.6718,-2.0323,49.66,89,44,3.98,ES,1728599480
205,sorong,-0.8833,131.25,79.07,88,100,2.73,ID,1728599482
206,nagqu,31.5,92.0,28.54,94,65,2.62,CN,1728599483
207,rio grande,-32.035,-52.0986,63.0,93,100,21.65,BR,1728599484
208,creel,27.75,-107.6333,66.58,35,90,9.71,MX,1728599470
209,turuntayevo,52.2,107.6167,26.04,90,65,0.87,RU,1728599488
210,key west,24.5557,-81.7826,87.01,68,20,10.36,US,1728599219
211,jinzhou,41.1078,121.1417,51.57,48,0,4.65,CN,1728599491
212,petropavlovsk-kamchatsky,53.0452,158.6483,32.59,55,0,6.71,RU,1728599492
213,happy valley-goose bay,53.3168,-60.3315,46.71,100,100,4.61,CA,1728599494
214,hajin,34.6927,40.827,80.46,15,39,11.36,SY,1728599496
215,amga,60.8953,131.9608,35.22,91,100,3.22,RU,1728599497
216,nadi,-17.8,177.4167,84.2,70,75,5.75,FJ,1728599498
217,lospalos,-8.5186,127.0025,77.77,75,50,7.38,TL,1728599499
218,nuuk,64.1835,-51.7216,29.01,100,100,1.14,GL,1728599501
219,sretensk,52.2453,117.7093,27.9,76,2,4.0,RU,1728599502
220,bukittinggi,-0.3091,100.3706,67.21,99,100,2.28,ID,1728599227
221,rechka-vydrino,51.485,104.8461,31.59,69,31,7.99,RU,1728599504
